beta beta_iter P sp_state
8 10 30 0.999197
8 15 10 0.447046
8 15 20 0.978109
8 15 30 0.999162
8 30 10 0.40727800000000003
8 30 20 0.974656
8 30 30 0.999026
9 5 10 0.546492
9 5 20 0.981232
9 5 30 0.999452
9 10 10 0.490178
9 10 20 0.978495
9 10 30 0.999362
9 15 10 0.45753
9 15 20 0.9789840000000001
9 15 30 0.9991789999999999
9 30 10 0.419711
9 30 20 0.974081
9 30 30 0.999213
10 5 10 0.5519149999999999
10 5 20 0.981885
10 5 30 0.9994500000000001
10 10 10 0.49291399999999996
10 10 20 0.979823
10 10 30 0.9992949999999999
10 15 10 0.470245
10 15 20 0.977686
10 15 30 0.9995299999999999
10 30 10 0.41765800000000003
10 30 20 0.977489
10 30 30 0.9993920000000001
11 5 10 0.553473
11 5 20 0.9817899999999999
11 5 30 0.999188
11 10 10 0.497913
11 10 20 0.978968
11 10 30 0.999289
11 15 10 0.474775
11 15 20 0.976854
11 15 30 0.999312
11 30 10 0.43861900000000004
11 30 20 0.9742029999999999
11 30 30 0.99867
12 5 10 0.55098
12 5 20 0.981024
12 5 30 0.9993289999999999
12 10 10 0.511839
12 10 20 0.9779650000000001
12 10 30 0.999441
12 15 10 0.475148
12 15 20 0.9786
12 15 30 0.9995539999999999
12 30 10 0.45115
12 30 20 0.975628
12 30 30 0.999094
13 5 10 0.551421
13 5 20 0.982023
13 5 30 0.999254
13 10 10 0.504115
13 10 20 0.9804339999999999
13 10 30 0.999443
13 15 10 0.469995
13 15 20 0.97689
13 15 30 0.998779
13 30 10 0.44916
13 30 20 0.975048
13 30 30 0.999135
14 5 10 0.550856
14 5 20 0.981994
14 5 30 0.9993150000000001
14 10 10 0.50204
14 10 20 0.9793160000000001
14 10 30 0.999484
14 15 10 0.494557
14 15 20 0.97557
14 15 30 0.999378
14 30 10 0.463482
14 30 20 0.976053
14 30 30 0.9995620000000001
15 5 10 0.562586
15 5 20 0.981982
15 5 30 0.999169
15 10 10 0.5189750000000001
15 10 20 0.9773440000000001
15 10 30 0.99899
15 15 10 0.500195
15 15 20 0.9794109999999999
15 15 30 0.999443
15 30 10 0.46373200000000003
15 30 20 0.975201
15 30 30 0.999185
16 5 10 0.5504840000000001
16 5 20 0.983346
16 5 30 0.9993970000000001
16 10 10 0.518674
16 10 20 0.97921
16 10 30 0.999386
16 15 10 0.489546
16 15 20 0.97789
16 15 30 0.9992190000000001
16 30 10 0.46766199999999997
16 30 20 0.9750449999999999
16 30 30 0.99926
17 5 10 0.5621889999999999
17 5 20 0.9818680000000001
17 5 30 0.999301
17 10 10 0.520953
17 10 20 0.978658
17 10 30 0.999442
17 15 10 0.500117
17 15 20 0.976589
17 15 30 0.999249
17 30 10 0.464935
17 30 20 0.9770359999999999
17 30 30 0.998951
18 5 10 0.557284
18 5 20 0.983139
18 5 30 0.999408
18 10 10 0.519009
18 10 20 0.978361
18 10 30 0.999386
18 15 10 0.502143
18 15 20 0.978362
18 15 30 0.9989640000000001
18 30 10 0.46684
18 30 20 0.977427
18 30 30 0.9990119999999999
19 5 10 0.555942
19 5 20 0.980947
19 5 30 0.999358
19 10 10 0.5196839999999999
19 10 20 0.9786900000000001
19 10 30 0.9993479999999999
19 15 10 0.506964
19 15 20 0.978581
19 15 30 0.999182
19 30 10 0.466911
19 30 20 0.976235
19 30 30 0.999226
20 5 10 0.564202
20 5 20 0.981284
20 5 30 0.999494
20 10 10 0.524028
20 10 20 0.979927
20 10 30 0.999232
20 15 10 0.504054
20 15 20 0.980164
20 15 30 0.9994500000000001
20 30 10 0.48487
20 30 20 0.978066
20 30 30 0.998833
